"ID","Name","Glottocode","Glottolog_Name","ISO639P3code","Macroarea","Latitude","Longitude","Family"
"id","Indonesian","indo1316","Standard Indonesian","ind","Papunesia",-7.33,109.72,"Austronesian"
"nl","Dutch","dutc1256","Dutch","nld","Eurasia",52,5,"Indo-European"
