GLOSS	NUMBER
body	1
head	2
face	3
forehead	4
skull	5
hair	6
bald	7
crown	8
ear	9
earwax	10
eye	11
eyelid	12
eyelashes	13
eyebrows	14
eyebrow	15
tears	16
tear	17
nose	18
nostril	19
mucus	20
cheek	21
mouth	22
exterior part of the mouth	23
interior part of the mouth	24
lips	25
lip	26
moustache	27
goatee	28
chin	29
beard	30
tongue	31
palate	32
tooth	33
molar	34
gums	35
brains	36
throat	37
neck	38
Adam's apple	39
nape	40
chest, breast (male)	41
breasts (female)	42
breast	43
breast (female)	44
nipple	45
breast milk	46
breast milk	47
to suck at the breast	48
to suckle	49
rib	50
lung	51
heart	52
stomach	53
belly	54
intestines	55
liver	56
bile	57
spleen	58
kidney	59
side	60
navel	61
umbilical cord	62
back	63
backbone, spine	64
shoulder	65
shoulderblade	66
buttocks	67
buttock	68
posterior, buttocks	69
tailbone, coccyx	70
anus	71
to defecate	72
faeces	73
fart	74
to fart	75
to stink, to smell	76
penis	77
vagina	78
testicle	79
to have intercourse	80
to couple	81
to urinate	82
piss, urine	83
leg	84
foot (plus lower leg)	85
foot	86
sole of the foot	87
ankle	88
heel	89
thigh	90
knee	91
back of the knee	92
calf	93
shin	94
arm	95
hand plus fore-arm	96
hand	97
upper arm	98
armpit	99
elbow	100
wrist	101
palm of the hand	102
lines in the palm of the hand	103
finger	104
fingers	105
toe	106
(finger)nail	107
thumb	108
index finger	109
middle finger	110
ring finger	111
little finger	112
the big toe	113
the little toe	114
bone	115
blood	116
flesh	117
tendon	118
nerve	119
sinew, nerve	120
skin	121
body hair	122
body hair (animal)	123
sweat	124
saliva	125
phlegm	126
to breath	127
to eat	128
hungry	129
to drink	130
drunk	131
thirsty	132
satisfied	133
replete, satisfied	134
to bite	135
to swallow down	136
to swallow	137
to sleep	138
to dream	139
dream	140
sleepy	141
to wake up	142
to get up	143
to stand	144
to walk	145
to lie supine	146
to lie prone	147
to lie	148
to sit (on a chair)	149
to sit (with the legs crossed)	150
to sit (with the knees bent to one side)	151
to squat	152
to swim	153
to take a bath	154
to wash	155
to stammer	156
to speak with a burr	157
voice	158
hoarse	159
to shout	160
to laugh	161
to laugh at	162
to weep	163
to weep for	164
to smile	165
to sigh	166
to spit	167
to vomit	168
to sneeze	169
to cough	170
to hiccup	171
hiccups	172
to choke	173
belch	174
to belch	175
to yawn	176
to nod	177
pregnant	178
to be born	179
after birth	180
twins	181
to live (alive)	182
to die	183
death	184
dead	185
the deceased	186
liquid formed during decomposition of body	187
corpse	188
coffin	189
to bury	190
grave	191
to kill	192
to inherit	193
inheritance	194
to wound	195
wound	196
an infected wound	197
scar	198
ill	199
to be ill	200
to (be in) pain	201
healthy	202
boil	203
to be feverish	204
fever	205
to have a stomach ache	206
stomach ache	207
to have diarrhoea	208
diarrhoea	209
small pox	210
measles	211
swelling, swollen	212
goitre	213
eruption (of rash)	214
ichthyosis, tinea	215
framboesia	216
scabies	217
leprosy	218
headache	219
rheumatism	220
to have a cold	221
a cold	222
gone to sleep (limbs)	223
cramp	224
paralysed	225
crippled	226
mute	227
deaf	228
blind	229
to shut the eyes	230
squinting	231
cured	232
medicine	233
medicine (with magic power)	234
doctor (medicine man)	235
man, mankind	236
people	237
people	238
name	239
nickname	240
man	241
woman	242
male (human)	243
male (animal)	244
female (human)	245
female (animal)	246
youth (male)	247
virgin	248
virginity	249
boy, lad	250
young girl	251
girl	252
old man	253
old woman	254
father	255
mother	256
oldest child	257
youngest child	258
child	259
little child (male)	260
little child (female)	261
son	262
daughter	263
grandfather	264
grandmother	265
great-great-grandparents	266
great-grandparents	267
ancestors	268
brother	269
sister	270
older brother	271
older sister	272
younger brother	273
younger sister	274
grandchild	275
uncle FB	276
uncle MB	277
uncle FBo	278
uncle FBy	279
uncle MBo	280
uncle MBy	281
aunt FZ	282
aunt MZ	283
aunt FZo	284
aunt FZy	285
aunt MZo	286
aunt <unsp.>	287
aunt MZy	288
aunt <unsp.>	289
aunt <unsp.>	290
aunt <unsp.>	291
nephew BoS	292
nephew ByS	293
nephew ZoS	294
nephew ZyS	295
niece BoD	296
niece ByD	297
niece ZoD	298
niece ZyD	299
cousin FB/FZS MB/MZS	300
cousin FB/FZD MB/MZD	301
parents-in-law	302
respective parents of the married couple	303
son-in-law	304
daughter-in-law	305
son or daughter-in-law	306
stepson	307
stepdaughter	308
stepparents	309
adopted child	310
brother-in-law WB	311
brother-in-law HB	312
brother-in-law WZH	313
brother-in-law HZH	314
brother-in-law	315
sister-in-law HZ	316
sister-in-law WZ	317
sister-in-law HBW	318
sister-in-law WBW	319
related	320
unrelated	321
husband	322
wife	323
friend	324
comrade, friend	325
comrade, mate	326
friend (female)	327
guest	328
guest, stranger	329
village	330
country	331
town (capital)	332
main village	333
hamlet	334
people (tribe)	335
sorcerer	336
talisman	337
incantation	338
magic wand	339
magic book	340
sacred, magic writings	341
idol	342
omen	343
ghost	344
spirit	345
evil spirit	346
vampire (witch, werewolf)	347
soul, spirit	348
soul, ghost	349
the supreme being	350
religion	351
to worship	352
vital spirit, vitality	353
god	354
statue representing an ancestor/ancestors	355
writing	356
letter	357
paper	358
letter	359
book	360
story	361
history, legend	362
poem	363
tune, melody	364
heaven	365
hell	366
underworld	367
underworld	368
the upper world	369
population	370
the afterlife	371
virtue	372
sin	373
forbidden	374
forbidden, taboo	375
priest	376
priestess	377
shaman	378
temple	379
holy place	380
settlement	381
town hall	382
king	383
a sort of first minister	384
mantri	385
guard	386
(sacred) place (held In awe)	387
village hall	388
men's house	389
women's house	390
village head	391
chieftain	392
nobleman	393
village elders	394
warrior	395
happiness	396
unhappiness	397
free man	398
slave	399
custom	400
common law	401
criminal	402
to judge	403
to punish	404
fine	405
witness	406
judge	407
credit bondsman	408
funeral ceremony	409
to circumcise	410
filing of the teeth	411
to marry, to take a wife, marriage	412
to marry, to take a husband, marriage	413
to give in marriage	414
to divorce	415
bride price	416
betrothal	417
to give birth to	418
midwife	419
to commit adultery	420
prostitute	421
dancing girl	422
mask	423
violin	424
flute	425
drum	426
tambourine	427
xylophone	428
gong	429
conch shell	430
Jew's harp	431
horn	432
to dance	433
song	434
riddle	435
to ask a riddle	436
to play	437
top	438
to spin a top	439
to hop	440
to kick/to hit a person on the calves (k.o. play)	441
house	442
hut, shelter	443
roof	444
ridge of roof	445
roofing: thatch	446
roofing: bamboo lath	447
roofing: wood	448
roofing: bark	449
roofing: other materials	450
rafter	451
porch	452
door opening	453
door	454
window opening	455
window	456
corner	457
staircase, steps	458
ladder	459
to climb into a house	460
floor (made from bamboo lath)	461
floor (made from wood)	462
wall (plank wall)	463
wall (bamboo wall)	464
midrib of palm frond	465
main posts	466
ceiling beams	467
bed	468
curtain	469
sleeping place	470
small room	471
cylindrical bolster	472
sleeping mat	473
pillow	474
couch	475
front verandah	476
attic (under the roof)	477
rack above the  fireplace	478
hearth, fireplace	479
fire	480
fire	481
to make a fire	482
to extinguish (with water)	483
to extinguish	484
to blow on a fire	485
extinguished	486
smoke	487
ashes	488
fire wood	489
to put on (light)	490
to put off (light)	491
space under the house	492
bed curtain	493
bench, seat	494
to build	495
to pull down (house)	496
coconut shell	497
pot (iron)	498
pot (earthenware)	499
rice kettle (copper)	500
rice kettle (earthenware)	501
dish	502
cup	503
drinking bowl	504
(tea) pot	505
saucer (earthenware)	506
small saucer (earthenware)	507
copper saucer	508
copper dish	509
knife	510
chopper	511
kris	512
dagger	513
axe, hatchet	514
spoon	515
ladle	516
bamboo water container	517
to fetch water	518
basket (all sorts of)	519
lamp	520
lamp wick	521
torch	522
case	523
box, case	524
case for cloth	525
cooking pot	526
pot, jar	527
to fire pottery	528
earthen water barrel	529
to cook in bamboo container	530
to cook (in pot)	531
to steam	532
to bake, to grill, to fry	533
to roast (in ashes)	534
to grill, to roast	535
to bake	536
done	537
half done	538
food	539
provisions	540
side-dish	541
vegetables	542
meat	543
meat (raw)	544
dried meat	545
fish	546
rice plant	547
harvested rice	548
husked rice	549
cooked rice	550
unhusked rice	551
stalk	552
ear of rice, corn	553
rice barn	554
rice pounder, mortar	555
pounder	556
to pound	557
sieve for rice	558
chaff	559
to grind	560
rice porridge	561
sago flour	562
sago porridge	563
baked sago	564
cake	565
porridge	566
black pepper	567
salt	568
coconut pulp	569
sarong	570
cloth	571
trousers	572
kebaya	573
jacket (for women)	574
jacket (for men)	575
head cloth (for women)	576
head cloth (for men)	577
comb	578
fine tooth comb	579
finger ring	580
ring	581
waist belt/band	582
metal waist band	583
arm ring, bracelet	584
anklet	585
arm ring (upper arm)	586
earring	587
earclip	588
necklace	589
bead	590
shawl	591
sarong used as a sling	592
loin cloth	593
cotton fabric (local, European)	594
silk	595
woollen fabric	596
flannel	597
to weave	598
loom (meed)	599
loom (weaving spool)	600
loom (warp)	601
loom (weft)	602
bark cloth	603
to pound bark cloth	604
to weave, to plait	605
to twine a rope	606
rope	607
thread, yarn	608
to knot, to knit	609
bag (woven bag)	610
bag (made from rope)	611
sword	612
sabre	613
sheath	614
to chip, cut, slash	615
pike, lance, javelin	616
blow-pipe	617
bow	618
bowstring	619
arrow	620
quiver	621
shield	622
flag	623
kind of small cannon	624
rifle	625
gun powder	626
bullet	627
to shoot	628
sling	629
to wage war	630
war	631
enemy	632
cannon	633
to go head hunting	634
peace	635
fortification	636
defeated	637
to gain the victory, to win	638
to surrender	639
victory	640
prisoner of war	641
delegate	642
tribute	643
tribute <as a mark of respect >	644
tax	645
to farm	646
plough	647
coulter	648
rake	649
dibble	650
to make a hole (with a dibble in the ground)	651
spade	652
trowel (a small trowel)	653
knife for cutting grass	654
sickle	655
knife for cutting rice plant	656
hoe	657
garden	658
rice-field (wet, sawah)	659
rice-field (dry)	660
small dike in rice-field	661
irrigation	662
water-course channel	663
fence, hedge	664
vegetation	665
planting, recently planted crop, a newly established garden	666
to sow (placing the seeds in holes in the ground)	667
to sow (scattering the seeds about)	668
seed	669
to plant	670
to thresh with the feet	671
seed-rice	672
ripe	673
unripe	674
to harvest	675
to reap	676
to gather	677
to pick	678
maize, corn	679
millet	680
beans and peas	681
beans	682
bean	683
cucumber	684
pumpkin	685
tobacco	686
sugarcane	687
peanut	688
onion	689
gourd	690
species of tuber	691
sweet potato	692
cassava	693
taro	694
red pepper	695
coconut (tree)	696
coconut (fruit)	697
coconut (other parts of the tree)	698
breadfruit tree and breadfruit	699
sugarpalm, aren tree	700
lontar tree	701
palm Juice (unfermented)	702
palm wine (fermented)	703
palmwine	704
syrup	705
sugar	706
nipa palm	707
sago tree	708
sago	709
cotton	710
kapok	711
pandanus	712
mango	713
Artocarpus integrifolia, Jack fruit	714
Nephelium lappaceum	715
Durio zibethinus	716
Eugenia	717
Lansium domesticum	718
Averrhoa carambola, carambola	719
Averrhoa blimbi	720
banana	721
banana (wild)	722
banana (fruit)	723
species of citrus fruit	724
orange	725
grape fruit	726
lemon	727
coffee	728
indigo (plant)	729
indigo (dye)	730
Uncaria gambir	731
Morinda atrocarpus	732
lime	733
Curcuma domestica	734
ginger	735
rattan, cane	736
bamboo	737
bamboo shoot, young sprout	738
tree	739
wood	740
to climb a tree	741
to climb	742
to cut down	743
branch	744
twig	745
the heart of the tree	746
main root, taproot	747
side-root	748
fibrous root	749
liana	750
leaf	751
falling of the leaves	752
bark	753
thorn, spine	754
sap	755
gum	756
Areca catechu LINN	757
betel	758
resin	759
resin (from the damar tree)	760
damar tree	761
sprout	762
flower	763
fruit	764
to bear fruit	765
