GLOSS	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY	CHECKED
ladle	516	2649	COCONUT SHELL LADLE	2	
#>>>					
bamboo water container	517		???		
to fetch water	518		???		
basket (all sorts of)	519	1539	BASKET	4	
#<<<					
lamp	520	2131	TORCH OR LAMP	2	
lamp	520	625	LAMP	2	
#>>>					
lamp wick	521		???		
torch	522	1919	TORCH	2	
case	523	1465	BOX	2	
#<<<					
box, case	524	1465	BOX	4	
box, case	524	3108	BOX (SOMEBODY OR SOMETHING)	4	
box, case	524	3150	BOX OR CHEST	4	
#>>>					
case for cloth	525		???		
cooking pot	526	3653	COOKING POT	2	
#<<<					
pot, jar	527	3653	COOKING POT	4	
pot, jar	527	2056	WOK	4	
pot, jar	527	270	JUG	4	
pot, jar	527	1462	POT	4	
pot, jar	527	3409	EARTHEN JUG	4	
pot, jar	527	3765	STORING POT	4	
pot, jar	527	854	KETTLE	4	
#>>>					
to fire pottery	528		???		
earthen water barrel	529		???		
to cook in bamboo container	530		???		
to cook (in pot)	531	1100	COOK (SOMETHING)	3	
to steam	532	2067	STEAM (VERB)	1	
#<<<					
to bake, to grill, to fry	533	183	BAKE	3	
to bake, to grill, to fry	533	2162	STIR FRY	3	
#>>>					
#<<<					
to roast (in ashes)	534	1962	ROAST (SOMETHING)	3	
to roast (in ashes)	534	2146	ROAST OR FRY	3	
#>>>					
to grill, to roast	535	1962	ROAST (SOMETHING)	4	
to bake	536	183	BAKE	1	
done	537	813	DO	2	
half done	538		???		
food	539	256	FOOD	2	
provisions	540		???		
side-dish	541		???		
vegetables	542	924	VEGETABLES	2	
#<<<					
meat	543	2615	FLESH OR MEAT	2	
meat	543	634	MEAT	2	
#>>>					
#<<<					
meat (raw)	544	3393	LEAN MEAT	4	
meat (raw)	544	634	MEAT	4	
meat (raw)	544	2615	FLESH OR MEAT	4	
meat (raw)	544	2492	BOIL (SOMETHING)	4	
meat (raw)	544	2096	ANIMAL OR MEAT	4	
#>>>					
dried meat	545		???		
#<<<					
fish	546	227	FISH	2	
fish	546	2638	FISHING	2	
#>>>					
#<<<					
rice plant	547	2026	RICE PLANT	2	
rice plant	547	3390	WILD RICE	2	
#>>>					
harvested rice	548		???		
husked rice	549	926	RICE	2	
cooked rice	550	1191	COOKED RICE	2	
unhusked rice	551	2749	UNHUSKED RICE	2	
stalk	552	2628	PLANT STEM	2	
#<<<					
ear of rice, corn	553	506	MAIZE	4	
ear of rice, corn	553	605	GRAIN	4	
#>>>					
rice barn	554		???		
#<<<					
rice pounder, mortar	555	1731	MORTAR BINDER	4	
rice pounder, mortar	555	224	MORTAR	4	
#>>>					
pounder	556	2459	GRINDSTONE	2	
#<<<					
to pound	557	354	POUND	1	
to pound	557	3768	POUND (FOOD)	1	
#>>>					
sieve for rice	558		???		
chaff	559	2363	CHAFF (HUSK)	2	
to grind	560	1033	GRIND	1	
rice porridge	561		???		
sago flour	562		???		
sago porridge	563		???		
baked sago	564		???		
cake	565	2408	CAKE	2	
#<<<					
porridge	566	3651	MUSH (FOOD)	2	
porridge	566	2049	CONGEE	2	
#>>>					
black pepper	567		???		
salt	568	1274	SALT	2	
coconut pulp	569		???		
#<<<					
sarong	570	2413	SARONG	2	
sarong	570	1965	LOINCLOTH	2	
#>>>					
cloth	571	1616	CLOTH	2	
trousers	572	809	TROUSERS	2	
kebaya	573		???		
jacket (for women)	574	2770	JACKET	4	
jacket (for men)	575	2770	JACKET	4	
head cloth (for women)	576		???		
head cloth (for men)	577		???		
#<<<					
comb	578	1475	COMB	2	
comb	578	2070	COMB (VERB)	2	
comb	578	188	COMB OF BIRD	2	
#>>>					
fine tooth comb	579		???		
finger ring	580	1374	RING	2	
#<<<					
ring	581	1374	RING	2	
ring	581	2875	RING (MAKE SOUND)	2	
#>>>					
waist belt/band	582		???		
metal waist band	583		???		
arm ring, bracelet	584	1754	BRACELET	4	
anklet	585		???		
arm ring (upper arm)	586		???		
earring	587	770	EARRING	2	
earclip	588		???		
necklace	589	1961	NECKLACE	2	
bead	590	1860	BEAD	2	
shawl	591	2771	SHAWL	2	
sarong used as a sling	592		???		
loin cloth	593		???		
cotton fabric (local, European)	594		???		
silk	595	1641	SILK	2	
woollen fabric	596		???		
flannel	597		???		
to weave	598	133	WEAVE	1	
#<<<					
loom (meed)	599	133	WEAVE	4	
loom (meed)	599	1787	LOOM	4	
#>>>					
#<<<					
loom (weaving spool)	600	133	WEAVE	4	
loom (weaving spool)	600	1787	LOOM	4	
#>>>					
#<<<					
loom (warp)	601	133	WEAVE	4	
loom (warp)	601	1787	LOOM	4	
#>>>					
#<<<					
loom (weft)	602	133	WEAVE	4	
loom (weft)	602	1787	LOOM	4	
#>>>					
bark cloth	603		???		
to pound bark cloth	604		???		
#<<<					
to weave, to plait	605	133	WEAVE	3	
to weave, to plait	605	3294	BRAID (VERB) OR WEAVE (BASKET)	3	
to weave, to plait	605	3295	BRAID (VERB)	3	
to weave, to plait	605	1729	PLAIT OR BRAID OR WEAVE	3	
to weave, to plait	605	3296	WEAVE (BASKET)	3	
#>>>					
to twine a rope	606		???		
rope	607	1218	ROPE	2	
#<<<					
thread, yarn	608	1161	THREAD	4	
thread, yarn	608	3445	YARN	4	
#>>>					
to knot, to knit	609	760	KNOT	4	
bag (woven bag)	610	2468	BAG	4	
bag (made from rope)	611	2468	BAG	4	
sword	612	1535	SWORD	2	
sabre	613		???		
sheath	614	3424	SHEATH	2	
#<<<					
to chip, cut, slash	615	1432	CUT	3	
to chip, cut, slash	615	2156	CUT (WITH KNIFE)	3	
to chip, cut, slash	615	3889	CUT OR HACK	3	
to chip, cut, slash	615	190	MOW	3	
to chip, cut, slash	615	2155	CUT (WITH SCISSORS)	3	
to chip, cut, slash	615	3151	CUT (WITH AXE)	3	
#>>>					
#<<<					
pike, lance, javelin	616	945	SPEAR	4	
pike, lance, javelin	616	2967	PIKE (FISH)	4	
#>>>					
blow-pipe	617		???		
bow	618	994	BOW	2	
bowstring	619	2119	BOW STRING	2	
arrow	620	977	ARROW	2	
quiver	621	995	QUIVER (FOR ARROWS)	2	
shield	622	1064	SHIELD	2	
flag	623	2623	FLAG	2	
kind of small cannon	624		???		
rifle	625	3881	PISTOL	2	
gun powder	626		???		
bullet	627	1114	BULLET	2	
to shoot	628	1172	SHOOT	1	
sling	629	387	SLING	2	
to wage war	630		???		
war	631	935	WAR	2	
enemy	632	1358	ENEMY	2	
cannon	633	3202	CANNON	2	
to go head hunting	634		???		
peace	635	1338	PEACE	2	
fortification	636		???		
defeated	637	3535	BE DEFEATED	2	
to gain the victory, to win	638		???		
to surrender	639	1696	SURRENDER	1	
victory	640	783	VICTORY	2	
prisoner of war	641		???		
delegate	642		???		
#<<<					
tribute	643	873	TAX	4	
tribute	643	2062	INTEREST	4	
#>>>					
#<<<					
tribute <as a mark of respect >	644	873	TAX	4	
tribute <as a mark of respect >	644	2062	INTEREST	4	
#>>>					
tax	645	873	TAX	2	
to farm	646	1541	CULTIVATE	3	
#<<<					
plough	647	2154	PLOUGH (INSTRUMENT)	2	
plough	647	1921	PLOUGH	2	
#>>>					
coulter	648		???		
#<<<					
rake	649	338	RAKE	2	
rake	649	3127	RAKE (SOMETHING)	2	
#>>>					
dibble	650		???		
to make a hole (with a dibble in the ground)	651		???		
spade	652	1176	SPADE	2	
trowel (a small trowel)	653		???		
knife for cutting grass	654		???		
sickle	655	341	SICKLE	2	
knife for cutting rice plant	656		???		
hoe	657	284	HOE	2	
garden	658	586	GARDEN	2	
rice-field (wet, sawah)	659		???		
rice-field (dry)	660		???		
small dike in rice-field	661		???		
irrigation	662		???		
water-course channel	663		???		
#<<<					
fence, hedge	664	1690	FENCE	4	
fence, hedge	664	3403	HORSE BARN	4	
fence, hedge	664	3400	COWSHED	4	
#>>>					
vegetation	665	653	PLANT (VEGETATION)	2	
planting, recently planted crop, a newly established garden	666		???		
#<<<					
to sow (placing the seeds in holes in the ground)	667	748	SOW SEEDS	3	
to sow (placing the seeds in holes in the ground)	667	1486	PLANT (SOMETHING)	3	
#>>>					
#<<<					
to sow (scattering the seeds about)	668	748	SOW SEEDS	3	
to sow (scattering the seeds about)	668	1486	PLANT (SOMETHING)	3	
#>>>					
seed	669	714	SEED	2	
to plant	670	1486	PLANT (SOMETHING)	1	
to thresh with the feet	671		???		
seed-rice	672	714	SEED	2	
ripe	673	178	RIPE	2	
unripe	674	1958	UNRIPE	2	
#<<<					
to harvest	675	1827	HARVEST CROPS	4	
to harvest	675	3541	HARVEST OR HARVEST SEASON	4	
to harvest	675	611	HARVEST	4	
to harvest	675	3327	AUTUMN OR HARVEST SEASON	4	
#>>>					
to reap	676	190	MOW	1	
to gather	677	7	GATHER	1	
to pick	678	2148	PICK	1	
maize, corn	679	506	MAIZE	2	
millet	680	931	MILLET	2	
beans and peas	681		???		
beans	682	832	BEAN	2	
#<<<					
bean	683	2574	BEAN OR PEA	2	
bean	683	832	BEAN	2	
#>>>					
cucumber	684	496	CUCUMBER	2	
pumpkin	685	864	PUMPKIN	2	
tobacco	686	974	TOBACCO	2	
sugarcane	687	146	SUGAR CANE	2	
peanut	688	595	GROUNDNUT (PEANUT)	2	
onion	689	2366	ONION	2	
gourd	690	411	GOURD	2	
species of tuber	691		???		
sweet potato	692	159	SWEET POTATO	2	
cassava	693	925	CASSAVA	2	
taro	694	351	TARO	2	
red pepper	695	919	CHILI PEPPER	2	
coconut (tree)	696	970	COCONUT	4	
coconut (fruit)	697	970	COCONUT	2	
coconut (other parts of the tree)	698	970	COCONUT	4	
breadfruit tree and breadfruit	699		???		
sugarpalm, aren tree	700		???		
lontar tree	701		???		
palm Juice (unfermented)	702		???		
palm wine (fermented)	703	404	ALCOHOL (FERMENTED DRINK)	4	
palmwine	704		???		
syrup	705		???		
sugar	706	862	SUGAR	2	
nipa palm	707		???		
sago tree	708		???		
sago	709	2270	SAGO	2	
cotton	710	1850	COTTON	2	
kapok	711	2499	KAPOK TREE	2	
pandanus	712	469	PANDANUS	2	
mango	713	2398	MANGO	2	
Artocarpus integrifolia, Jack fruit	714	2655	JACKFRUIT	4	
Nephelium lappaceum	715		???		
Durio zibethinus	716		???		
Eugenia	717		???		
Lansium domesticum	718		???		
Averrhoa carambola, carambola	719		???		
Averrhoa blimbi	720		???		
#<<<					
banana	721	868	BANANA	2	
banana	721	399	PLANTAIN	2	
#>>>					
#<<<					
banana (wild)	722	868	BANANA	4	
banana (wild)	722	399	PLANTAIN	4	
#>>>					
banana (fruit)	723	868	BANANA	2	
species of citrus fruit	724		???		
#<<<					
orange	725	2627	ORANGE (FRUIT)	2	
orange	725	3328	ORANGE (COLOR)	2	
#>>>					
grape fruit	726		???		
lemon	727	3091	LEMON	2	
coffee	728	1299	COFFEE	2	
indigo (plant)	729		???		
indigo (dye)	730		???		
Uncaria gambir	731		???		
Morinda atrocarpus	732		???		
#<<<					
lime	733	982	LIME (FRUIT)	2	
lime	733	2540	LIME (MATERIAL)	2	
#>>>					
Curcuma domestica	734		???		
ginger	735	2500	GINGER	2	
#<<<					
rattan, cane	736	1296	WALKING STICK	4	
rattan, cane	736	659	REED	4	
rattan, cane	736	2497	RATTAN	4	
rattan, cane	736	1295	STICK	4	
rattan, cane	736	146	SUGAR CANE	4	
rattan, cane	736	343	VINE	4	
rattan, cane	736	1763	CLUB	4	
#>>>					
bamboo	737	1927	BAMBOO	2	
bamboo shoot, young sprout	738	2494	BAMBOO SHOOT	4	
tree	739	906	TREE	2	
wood	740	1803	WOOD	2	
to climb a tree	741		???		
to climb	742	1102	CLIMB	1	
to cut down	743	355	CUT DOWN	1	
#<<<					
branch	744	1531	BRANCH	2	
branch	744	3223	BRANCH OR TWIG	2	
#>>>					
twig	745	3222	TWIG	2	
the heart of the tree	746		???		
main root, taproot	747		???		
side-root	748		???		
fibrous root	749		???		
liana	750	2388	LIANA	2	
#<<<					
leaf	751	2250	LEAF (LEAFLIKE OBJECT)	2	
leaf	751	628	LEAF	2	
#>>>					
falling of the leaves	752		???		
#<<<					
bark	753	1204	BARK	2	
bark	753	3865	BARK OR SHELL	2	
bark	753	1206	BARKING	2	
#>>>					
#<<<					
thorn, spine	754	124	THORN	4	
thorn, spine	754	805	SPINE	4	
#>>>					
sap	755	345	SAP	2	
gum	756	139	GUMS	2	
Areca catechu LINN	757		???		
betel	758	177	BETEL PEPPER VINE	2	
resin	759	664	RESIN	2	
resin (from the damar tree)	760	664	RESIN	4	
damar tree	761		???		
#<<<					
sprout	762	3358	SPROUT (SHOOT)	2	
sprout	762	2076	SPROUT (VERB)	2	
#>>>					
flower	763	239	FLOWER	2	
fruit	764	1507	FRUIT	2	
to bear fruit	765	3054	BEAR FRUIT	1	
#<<<					
rind, peel	766	275	PEEL	4	
rind, peel	766	3660	SHELL (SOMETHING)	4	
rind, peel	766	2373	SKIN (OF FRUIT)	4	
#>>>					
to peel	767	275	PEEL	1	
#<<<					
pip, stone	768	3419	STONE (CLASSIFIER)	4	
pip, stone	768	1762	STONE (OF FRUIT)	4	
pip, stone	768	224	MORTAR	4	
pip, stone	768	2125	STONE OR ROCK	4	
pip, stone	768	857	STONE	4	
pip, stone	768	668	ROCK	4	
pip, stone	768	1945	IDOL	4	
#>>>					
the flesh of the fruit	769		???		
bunch	770	1966	BUNCH	2	
#<<<					
oil	771	2556	OIL (HYDROPHOBIC LIQUID)	2	
oil	771	1484	OIL (ORGANIC SUBSTANCE)	2	
#>>>					
moss	772	637	MOSS	2	
mushroom	773	641	MUSHROOM	2	
ferns	774	3802	FERN	4	
grass	775	606	GRASS	2	
weeds	776	3288	WEED	2	
Imperata cylindria (Kunai grass)	777		???		
Saccharum spontaneum	778		???		
#<<<					
animal, beast	779	3056	ANIMAL (CLASSIFIER)	4	
animal, beast	779	958	WILD ANIMAL	4	
animal, beast	779	2096	ANIMAL OR MEAT	4	
animal, beast	779	619	ANIMAL	4	
animal, beast	779	631	LIVESTOCK	4	
#>>>					
#<<<					
young of animal (calf, foal, chicken, etc.)	780	1318	CHICKEN	4	
young of animal (calf, foal, chicken, etc.)	780	1840	BUILD	4	
young of animal (calf, foal, chicken, etc.)	780	2017	MIX	4	
young of animal (calf, foal, chicken, etc.)	780	1514	HEN	4	
young of animal (calf, foal, chicken, etc.)	780	2628	PLANT STEM	4	
young of animal (calf, foal, chicken, etc.)	780	3080	SPLIT OPEN	4	
young of animal (calf, foal, chicken, etc.)	780	178	RIPE	4	
young of animal (calf, foal, chicken, etc.)	780	460	BREAK (OF ROPE)	4	
young of animal (calf, foal, chicken, etc.)	780	1201	FEATHER	4	
young of animal (calf, foal, chicken, etc.)	780	1647	FOAL	4	
young of animal (calf, foal, chicken, etc.)	780	2512	CHICK	4	
young of animal (calf, foal, chicken, etc.)	780	265	FOWL	4	
young of animal (calf, foal, chicken, etc.)	780	3044	BOVINE	4	
young of animal (calf, foal, chicken, etc.)	780	2081	CHICKEN (CLASSIFIER)	4	
young of animal (calf, foal, chicken, etc.)	780	718	PAY	4	
young of animal (calf, foal, chicken, etc.)	780	285	THRESH	4	
#>>>					
to bleat	781		???		
to keep animals	782		???		
tail	783	1220	TAIL	2	
paw	784	2965	PAW	2	
hoof	785	152	HOOF	2	
claw	786	72	CLAW	2	
udder	787	154	UDDER	2	
#<<<					
mouth, snout	788	674	MOUTH	4	
mouth, snout	788	2200	SNOUT	4	
mouth, snout	788	1701	RIVER MOUTH	4	
#>>>					
snout, muzzle	789	2200	SNOUT	4	
#<<<					
bill, beak	790	1081	BILL	4	
bill, beak	790	73	BEAK	4	
#>>>					
wing	791	1257	WING	2	
feather	792	1201	FEATHER	2	
to fly	793	1441	FLY (MOVE THROUGH AIR)	1	
#<<<					
nest	794	3549	BIRD NEST	2	
nest	794	539	NEST	2	
#>>>					
egg	795	744	EGG	2	
to lay eggs	796	2464	LAY EGGS	1	
to brood	797	2075	BROOD (VERB)	3	
to hatch	798	3116	HATCH (OUT)	1	
domesticated pig	799		???		
piggery	800		???		
wild pig	801	3154	WILD BOAR	2	
to grunt	802		???		
#<<<					
sheep	803	1331	SHEEP	2	
sheep	803	1344	RAM	2	
#>>>					
#<<<					
goat	804	1502	GOAT	2	
goat	804	2684	CAPRINE (GOAT OR SHEEP)	2	
goat	804	2476	FEMALE GOAT	2	
#>>>					
#<<<					
buffalo (female)	805	2516	WATER BUFFALO	4	
buffalo (female)	805	3142	BISON	4	
buffalo (female)	805	934	BUFFALO	4	
#>>>					
#<<<					
buffalo (male)	806	2516	WATER BUFFALO	4	
buffalo (male)	806	3142	BISON	4	
buffalo (male)	806	934	BUFFALO	4	
#>>>					
#<<<					
buffalo (calf)	807	2516	WATER BUFFALO	4	
buffalo (calf)	807	3142	BISON	4	
buffalo (calf)	807	934	BUFFALO	4	
#>>>					
#<<<					
cow	808	1007	COW	2	
cow	808	3044	BOVINE	2	
#>>>					
bull	809	1008	BULL	2	
to bleat, to moo	810		???		
#<<<					
to low, to bellow	811	2191	LOW (HEIGHT)	4	
to low, to bellow	811	3348	LOW (POSITION OR HEIGHT)	4	
to low, to bellow	811	2484	SMALL (NOT TALL)	4	
to low, to bellow	811	536	LOW VOICE	4	
to low, to bellow	811	1485	BELOW OR UNDER	4	
to low, to bellow	811	721	LOW	4	
#>>>					
horse	812	615	HORSE	2	
to neigh, to whinny	813		???		
#<<<					
deer	814	1936	DEER	2	
deer	814	3826	ROE DEER	2	
#>>>					
#<<<					
horn	815	1393	HORN (ANATOMY)	2	
horn	815	939	HORN (INSTRUMENT)	2	
#>>>					
dog	816	2009	DOG	2	
#<<<					
to bark	817	1204	BARK	1	
to bark	817	1206	BARKING	1	
#>>>					
#<<<					
cat	818	3825	MALE CAT	2	
cat	818	1208	CAT	2	
#>>>					
to miaow	819		???		
tiger	820	846	TIGER	2	
to roar	821	3896	ROAR	1	
bear	822	1820	BEAR	2	
porcupine	823	2510	PORCUPINE	2	
marsupial	824		???		
marten (paradaxurus)	825	3739	MARTEN	4	
half-ape	826		???		
ant-eater (manis javanica)	827	181	ANTEATER	4	
cassowary	828	466	CASSOWARY	2	
pigeon	829	1853	DOVE	2	
#<<<					
crow	830	913	CROW	2	
crow	830	2074	CROW (VERB)	2	
#>>>					
#<<<					
hen, chicken	831	1318	CHICKEN	4	
hen, chicken	831	1514	HEN	4	
hen, chicken	831	1201	FEATHER	4	
hen, chicken	831	265	FOWL	4	
hen, chicken	831	2512	CHICK	4	
hen, chicken	831	2081	CHICKEN (CLASSIFIER)	4	
#>>>					
chick	832	2512	CHICK	2	
#<<<					
hen	833	1514	HEN	2	
hen	833	1318	CHICKEN	2	
#>>>					
mother hen	834		???		
cock, rooster	835	1511	ROOSTER	2	
fighting cock	836		???		
cock-fighting	837		???		
duck	838	1360	DUCK	2	
parrot	839	882	PARROT	2	
#<<<					
parakeet, budgerigar	840	3720	BUDGERIGAR	4	
parakeet, budgerigar	840	886	PARAKEET	4	
#>>>					
#<<<					
swallow	841	897	SWALLOW	2	
swallow	841	3077	SWALLOW (BIRD)	2	
#>>>					
rice-bird	842		???		
hornbill	843	3260	HORNBILL	2	
quail	844	1893	QUAIL	2	
heron	845	758	HERON	2	
birds of prey	846		???		
owl	847	735	OWL	2	
kite (bird)	848	307	HAWK	4	
bird	849	937	BIRD	2	
squirrel	850	1628	SQUIRREL	2	
bat	851	1793	BAT	2	
bat	852	1793	BAT	2	
flying fox	853	235	FLYING FOX	2	
#<<<					
deer	854	1936	DEER	2	
deer	854	3826	ROE DEER	2	
#>>>					
cherrotain mousedeer	855		???		
#<<<					
mouse	856	1491	MOUSE	2	
mouse	856	2139	MUROID (MOUSE OR RAT)	2	
#>>>					
#<<<					
rat	857	1490	RAT	2	
rat	857	1491	MOUSE	2	
rat	857	2139	MUROID (MOUSE OR RAT)	2	
#>>>					
shrew	858	3676	SHREW	2	
monkey	859	1350	MONKEY	2	
to hunt	860	1435	HUNT	1	
trap for catching large game	861		???		
#<<<					
trap	862	1075	TRAP (PITFALL)	2	
trap	862	3320	SNARE (TRAP)	2	
#>>>					
bamboo spikes	863		???		
to fish	864	2638	FISHING	1	
fish trap	865	389	FISH TRAP	2	
#<<<					
net	866	2653	NET (FOR CATCHING)	2	
net	866	2963	NET	2	
#>>>					
#<<<					
fish	867	227	FISH	2	
fish	867	2638	FISHING	2	
#>>>					
shark	868	1110	SHARK	2	
ray	869		???		
eel	870	1013	FRESHWATER EEL	2	
#<<<					
louse	871	1392	LOUSE	2	
louse	871	310	HEAD LOUSE	2	
#>>>					
to delouse	872		???		
#<<<					
louse	873	1392	LOUSE	2	
louse	873	310	HEAD LOUSE	2	
#>>>					
nit	874	267	NIT	2	
flea	875	232	FLEA	2	
spider	876	843	SPIDER	2	
#<<<					
fly	877	1504	FLY (INSECT)	2	
fly	877	1441	FLY (MOVE THROUGH AIR)	2	
#>>>					
bluebottle fly	878		???		
wasp	879	1517	WASP	2	
bee	880	665	BEE	2	
honey	881	942	HONEY	2	
mosquito	882	1509	MOSQUITO	2	
butterfly	883	1791	BUTTERFLY	2	
caterpillar	884	2247	CATERPILLAR	2	
firefly	885	206	FIREFLY	2	
grasshopper	886	607	GRASSHOPPER	2	
beetle	887	2242	BEETLE	2	
cockroach	888	1575	COCKROACH	2	
ant	889	587	ANT	2	
white ant, termite	890	883	TERMITE	4	
snake	891	730	SNAKE	2	
python	892	1563	PYTHON	2	
centipede	893	1974	CENTIPEDE	2	
#<<<					
leech	894	949	WATER LEECH	2	
leech	894	2273	LEECH	2	
#>>>					
snail, slug	895	1543	SNAIL	2	
#<<<					
worm	896	2350	EARTHWORM	2	
worm	896	1219	WORM	2	
#>>>					
#<<<					
shrimp	897	238	PRAWNS	2	
shrimp	897	2349	SHRIMP	2	
#>>>					
crab	898	2348	CRAB	2	
shell	899	598	SHELL	2	
crustacean	900		???		
frog	901	503	FROG	2	
toad	902	894	TOAD	2	
lizard	903	632	LIZARD	2	
iguana	904	1578	IGUANA	2	
crocodile	905	1857	CROCODILE	2	
tortoise	906	895	TORTOISE	2	
#<<<					
turtle	907	112	TURTLE	2	
turtle	907	3949	RED-FOOTED TORTOISE	2	
turtle	907	895	TORTOISE	2	
#>>>					
universe	908		???		
firmament	909		???		
sky	910	1732	SKY	2	
sun	911	1343	SUN	2	
sun eclipse	912		???		
moon	913	1313	MOON	2	
one month	914		???		
#<<<					
month (name of the months)	915	1370	MONTH	4	
month (name of the months)	915	2463	MOON OR MONTH	4	
#>>>					
moon eclipse	916		???		
star	917	1430	STAR	2	
sunrise	918	2296	SUNRISE	2	
moonrise	919		???		
sunset	920	2295	SUNSET	2	
moonset	921		???		
#<<<					
earth (globe)	922	212	FIELD	4	
earth (globe)	922	1228	EARTH (SOIL)	4	
earth (globe)	922	2159	GROUND	4	
earth (globe)	922	626	LAND	4	
earth (globe)	922	3603	EARTH OR LAND	4	
earth (globe)	922	965	WORLD	4	
#>>>					
air	923	27	AIR	2	
#<<<					
rain	924	658	RAIN (PRECIPITATION)	2	
rain	924	2108	RAINING OR RAIN	2	
rain	924	1253	RAIN (RAINING)	2	
#>>>					
dew	925	1977	DEW	2	
#<<<					
cloud	926	1489	CLOUD	2	
cloud	926	448	STORM CLOUDS	2	
#>>>					
#<<<					
fog, mist	927	249	FOG	4	
fog, mist	927	3275	CLOUD OR FOG	4	
#>>>					
rainbow	928	1733	RAINBOW	2	
#<<<					
thunder	929	1150	THUNDER	2	
thunder	929	2378	THUNDER (VERB)	2	
#>>>					
thunderstone	930		???		
#<<<					
(flash of) lightning	931	2377	FLASH (VERB)	4	
(flash of) lightning	931	1654	LIGHTNING	4	
(flash of) lightning	931	2007	BOLT (OF LIGHTNING)	4	
#>>>					
earthquake	932	6	EARTHQUAKE	2	
wind	933	960	WIND	2	
storm	934	858	STORM	2	
#<<<					
water	935	3078	IRRIGATE	2	
water	935	2516	WATER BUFFALO	2	
water	935	948	WATER	2	
#>>>					
sea	936	1474	SEA	2	
ebb	937		???		
lake	938	624	LAKE	2	
#<<<					
flood, tide	939	947	STREAM	4	
flood, tide	939	613	HIGH TIDE	4	
flood, tide	939	1026	LOW TIDE	4	
flood, tide	939	891	TIDE	4	
#>>>					
#<<<					
wave	940	978	WAVE	2	
wave	940	3544	WAVE (VERB)	2	
#>>>					
breakers, surf	941	3132	SURF	4	
bay	942	663	BAY	2	
#<<<					
beach	943	113	SHORE	2	
beach	943	3460	BEACH	2	
#>>>					
strait(s)	944	1661	STRAIT	4	
sandbank	945		???		
coral reef	946		???		
#<<<					
land	947	626	LAND	2	
land	947	166	MAINLAND	2	
#>>>					
#<<<					
land (state)	948	1300	COUNTRY	4	
land (state)	948	1228	EARTH (SOIL)	4	
land (state)	948	166	MAINLAND	4	
land (state)	948	1922	LAND (DESCEND)	4	
land (state)	948	2159	GROUND	4	
land (state)	948	626	LAND	4	
land (state)	948	3603	EARTH OR LAND	4	
land (state)	948	2273	LEECH	4	
#>>>					
island	949	622	ISLAND	2	
isthmus	950		???		
cape	951	1662	CAPE	2	
mountain	952	639	MOUNTAIN	2	
hill	953	614	HILL	2	
mountain-climbing, to ascend	954	705	GO UP (ASCEND)	3	
to go down, to descend	955	2014	GO DOWN (DESCEND)	3	
plain	956	652	PLAIN	2	
valley	957	921	VALLEY	2	
grassy plain	958		???		
swamp	959	1145	SWAMP	2	
#<<<					
forest, woods	960	420	FOREST	4	
forest, woods	960	2141	TREE OR WOOD	4	
forest, woods	960	1803	WOOD	4	
forest, woods	960	3808	JUNGLE	4	
#>>>					
jungle	961	3808	JUNGLE	2	
#<<<					
bush	962	201	FARM	2	
bush	962	1683	BUSH	2	
#>>>					
volcano	963	2291	VOLCANO	2	
#<<<					
way, road	964	667	ROAD	4	
way, road	964	2457	PATH OR ROAD	4	
way, road	964	2252	PATH	4	
way, road	964	488	MANNER	4	
#>>>					
mud	965	640	MUD	2	
footstep (footprint)	966	318	FOOTPRINT	4	
#<<<					
border, boundary	967	1010	BOUNDARY	4	
border, boundary	967	2546	BORDER	4	
#>>>					
#<<<					
river	968	666	RIVER	2	
river	968	3311	FLOWING BODY OF WATER	2	
#>>>					
bridge	969	1011	BRIDGE	2	
to go upstream	970		???		
to go downstream	971		???		
#<<<					
spring, source	972	849	SPRING (OF WATER)	4	
spring, source	972	2144	SPRING OR WELL	4	
spring, source	972	1537	SPRINGTIME	4	
spring, source	972	1829	JUMP	4	
spring, source	972	954	WELL	4	
#>>>					
flood	973	613	HIGH TIDE	2	
#<<<					
stone	974	668	ROCK	2	
stone	974	1762	STONE (OF FRUIT)	2	
stone	974	857	STONE	2	
#>>>					
#<<<					
earth (ground)	975	212	FIELD	4	
earth (ground)	975	1228	EARTH (SOIL)	4	
earth (ground)	975	2159	GROUND	4	
earth (ground)	975	626	LAND	4	
earth (ground)	975	3603	EARTH OR LAND	4	
earth (ground)	975	965	WORLD	4	
#>>>					
#<<<					
sand	976	671	SAND	2	
sand	976	3460	BEACH	2	
#>>>					
gravel	977	3028	GRAVEL	2	
#<<<					
iron	978	621	IRON	2	
iron	978	3118	IRON (CLOTHES)	2	
#>>>					
copper	979	1825	COPPER	2	
bronze	980	2313	BRONZE	2	
silver	981	759	SILVER	2	
gold	982	1369	GOLD	2	
tin	983	893	TIN (METAL)	2	
#<<<					
lead	984	43	LEAD (GUIDE)	2	
lead	984	627	LEAD (CHEMICAL ELEMENT)	2	
#>>>					
sulphur	985	3386	SULPHUR	2	
smith	986	1001	BLACKSMITH	2	
smithy	987		???		
to forge, weld	988	288	FORGE	3	
charcoal	989	1188	CHARCOAL	2	
#<<<					
hammer	990	3306	NAIL	2	
hammer	990	3115	HAMMER (SOMETHING)	2	
hammer	990	1481	HAMMER	2	
#>>>					
anvil	991	1648	ANVIL	2	
tongs	992	272	TONGS	2	
cinders, glowing coals	993		???		
#<<<					
